# repo=endojs/endo-but-for-bots commit=eb47ab6749b12dcdec261e5a2373200038b5c3e2 generator=export-index/1
# name	specifier	package	def	kind	arity	shape	tokens	private
GitRemoteInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:409	const				0
GitRemoteInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:409	const				0
GitRemoteInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:409	const				0
GitRewriterInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:381	const				0
GitRewriterInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:381	const				0
GitRewriterInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:381	const				0
GitTreeInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:397	const				0
GitTreeInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:397	const				0
GitTreeInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:397	const				0
GitWriterInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:376	const				0
GitWriterInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:376	const				0
GitWriterInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:376	const				0
GuestInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:160	const				1
HANDSHAKE_HASH_LENGTH	@endo/ocapn-noise	@endo/ocapn-noise	packages/ocapn-noise/src/bindings.js:79	const				1
HandleInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:145	const				1
HandledPromise	@endo/eventual-send	@endo/eventual-send	packages/eventual-send/src/no-shim.js:7	const				0
HeaderRejectedError	@endo/http-confine	@endo/http-confine	packages/http-confine/src/http-confine.js:98	const				0
HeaderRejectedError	@endo/http-confine/src/http-confine.js	@endo/http-confine	packages/http-confine/src/http-confine.js:98	const				0
HostInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:262	const				1
HostPassthrough	@endo/preact-container/compartment	@endo/preact-container	packages/preact-container/src/renderer.js:660	function	1	7a85fdc9cc4b	8	1
HostPassthrough	@endo/preact-container/renderer	@endo/preact-container	packages/preact-container/src/renderer.js:660	function	1	7a85fdc9cc4b	8	1
HttpClientControlInterface	@endo/exo-http-client	@endo/exo-http-client	packages/exo-http-client/src/http-client.js:139	const				0
HttpClientControlInterface	@endo/exo-http-client/src/http-client.js	@endo/exo-http-client	packages/exo-http-client/src/http-client.js:139	const				0
HttpClientInterface	@endo/exo-http-client	@endo/exo-http-client	packages/exo-http-client/src/http-client.js:131	const				0
HttpClientInterface	@endo/exo-http-client/src/http-client.js	@endo/exo-http-client	packages/exo-http-client/src/http-client.js:131	const				0
HttpResponseInterface	@endo/exo-http-client	@endo/exo-http-client	packages/exo-http-client/src/http-client.js:117	const				0
HttpResponseInterface	@endo/exo-http-client/src/http-client.js	@endo/exo-http-client	packages/exo-http-client/src/http-client.js:117	const				0
INTERFACE_TO_TYPE	@endo/spaces-util/value-render.js	@endo/spaces-util	packages/spaces-util/src/value-render.js:141	const				1
IROH_NETWORK_ID	@endo/ocapn-iroh	@endo/ocapn-iroh	packages/ocapn-iroh/src/location.js:31	const				1
IROH_NETWORK_ID	@endo/ocapn-iroh/location	@endo/ocapn-iroh	packages/ocapn-iroh/src/location.js:31	const				1
InboxRoot	@endo/space-chat	@endo/space-chat	packages/space-chat/src/inbox.js:1386	const-function	1	c08412c73bf9	436	1
InspectorHubInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:614	const				1
InspectorInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:619	const				1
InventoryList	@endo/space-chat	@endo/space-chat	packages/space-chat/src/inventory/inventory.js:653	const-function	1	ba0358c1893b	715	1
InvitationInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:609	const				1
LOCKOUT_THRESHOLD	@endo/spaces-util/composite-heat-engine.js	@endo/spaces-util	packages/spaces-util/src/heat-engine.js:39	const				1
LOCKOUT_THRESHOLD	@endo/spaces-util/heat-engine.js	@endo/spaces-util	packages/spaces-util/src/heat-engine.js:39	const				1
